Serial, Mutex_t1, Mutex_t2, Mutex_t4, Mutex_t8, ReadWrite_t1, ReadWrite_t2, ReadWrite_t4, ReadWrite_t8
11509, 14276, 23537, 22679, 24245, 9699, 6915, 7020, 6994
10111, 10639, 21660, 23201, 21605, 9779, 9412, 7092, 7150
9378, 9569, 22629, 20211, 21950, 9718, 7351, 7266, 7651
9615, 9228, 22694, 19700, 22239, 9530, 9431, 7297, 7375
9273, 9690, 22708, 21471, 21669, 11387, 6848, 7278, 6964
10405, 11855, 37179, 27883, 28501, 21788, 11261, 6954, 7484
8962, 9631, 23845, 21997, 24184, 10002, 7192, 7609, 6782
11309, 11729, 25871, 28252, 20896, 9792, 9976, 7395, 7245
10898, 9618, 21583, 22159, 22184, 9747, 7054, 7404, 7077
8818, 9456, 22107, 21586, 21015, 9682, 7065, 7469, 7152
9278, 9331, 22115, 21231, 21121, 10902, 7041, 7473, 6753
9110, 9238, 22995, 19898, 21067, 9701, 7430, 7378, 6893
10060, 10275, 21908, 22048, 22806, 9572, 7039, 7360, 7164
9039, 9288, 21944, 21210, 21911, 11077, 7770, 7077, 7402
10047, 9765, 26342, 28288, 26298, 15208, 12385, 7068, 7314
9798, 11183, 27894, 26336, 23156, 9709, 7519, 7031, 7048
9161, 9821, 22223, 21711, 21856, 9441, 7776, 7014, 6958
10729, 9870, 22772, 20874, 21625, 11017, 9383, 6851, 6852
9982, 10004, 21684, 20690, 21349, 10792, 9608, 7385, 6864
9223, 9894, 21683, 21338, 21092, 10731, 10434, 7293, 8548
8778, 9616, 23258, 21609, 22463, 9765, 7140, 7238, 7080
8861, 9445, 22177, 21588, 21992, 9767, 7339, 7164, 7027
9222, 12591, 22989, 20556, 20231, 11611, 8629, 7842, 10019
9643, 13702, 32433, 18248, 23923, 14187, 8876, 6844, 7119
9127, 9451, 22564, 22066, 21277, 9513, 7296, 7207, 6869
9001, 9396, 21589, 22078, 20662, 10945, 8991, 7020, 7232
12480, 9571, 24657, 26197, 29190, 10688, 8234, 7295, 7355
9337, 9091, 22856, 21469, 29109, 12065, 10238, 8368, 7446
12446, 11669, 28095, 34587, 35308, 9647, 9009, 8677, 8018
18838, 18072, 37975, 33110, 31290, 19810, 11925, 7255, 9308
10126, 11010, 23301, 23511, 26062, 31789, 13143, 16032, 22749
20330, 16905, 33549, 32379, 32357, 11443, 9840, 7259, 7849
10251, 11707, 27394, 23036, 23419, 9877, 7146, 7706, 6768
9868, 10231, 23874, 21156, 28920, 13038, 11315, 7220, 6654
