Serial, Mutex_t1, Mutex_t2, Mutex_t4, Mutex_t8, ReadWrite_t1, ReadWrite_t2, ReadWrite_t4, ReadWrite_t8
10303, 10609, 21146, 19381, 18963, 17011, 10073, 7591, 8121
10698, 11396, 20995, 20841, 18484, 11729, 9363, 8261, 8152
11279, 12546, 19388, 19094, 18342, 11973, 9738, 7657, 7966
11796, 10990, 26290, 26525, 18986, 11918, 14278, 7404, 7890
11307, 10247, 20804, 22449, 19745, 13447, 9371, 7731, 8117
11678, 11562, 20048, 26020, 17880, 12376, 9415, 7783, 7966
11876, 11855, 20356, 19881, 19978, 11845, 9224, 9556, 8266
11373, 12294, 25393, 20003, 21195, 12099, 11780, 8580, 7675
11367, 12871, 17978, 20589, 27791, 15934, 10678, 8339, 9195
16301, 14168, 25155, 22009, 20319, 15588, 9716, 13152, 9179
10855, 11219, 20573, 21475, 20197, 12190, 9212, 7913, 7854
11715, 11573, 21049, 24545, 19251, 11194, 9566, 7715, 7923
11124, 11404, 21088, 22779, 19258, 11575, 9597, 7150, 8129
11243, 11108, 20329, 20551, 17658, 11651, 9482, 7930, 7920
10886, 11283, 20312, 22318, 18059, 12763, 9450, 8149, 8106
11614, 11043, 22753, 20159, 19800, 13129, 9366, 7989, 8387
11529, 13285, 20525, 23978, 17812, 14852, 9053, 7696, 7857
11841, 10624, 21958, 18232, 19847, 12532, 9599, 7790, 7966
11911, 11022, 24095, 21342, 18675, 11994, 9346, 7798, 8032
11675, 11287, 20098, 19485, 19601, 13828, 9749, 7864, 7988
11931, 10908, 20161, 21909, 19524, 11755, 9431, 7696, 7965
11471, 10499, 19233, 21208, 18170, 11905, 9524, 7801, 8068
11528, 11651, 20776, 20164, 18858, 12135, 9477, 7858, 7996
10676, 11556, 21848, 22194, 19329, 12670, 9770, 8324, 8239
11665, 13086, 22875, 18913, 19238, 11827, 9301, 7802, 8169
14117, 10565, 20704, 21894, 19967, 14985, 9397, 7803, 7806
11837, 11236, 20257, 22561, 18974, 14722, 9198, 8046, 7891
12140, 10354, 20748, 19513, 19458, 11747, 9097, 8086, 7930
10872, 10470, 20172, 21228, 21089, 12098, 9001, 7876, 7913
11043, 10444, 21596, 23211, 18820, 11911, 9697, 7424, 7868
11410, 10535, 21255, 23014, 18224, 12142, 9445, 7567, 7917
11498, 11860, 19913, 18016, 17700, 12146, 9298, 7696, 8334
11782, 10921, 25636, 20293, 20091, 11693, 9828, 9331, 8398
11679, 11448, 21862, 22252, 18977, 13089, 9696, 7723, 8191
11123, 11619, 20810, 18079, 19437, 13298, 9562, 7574, 7934
11727, 10654, 20182, 24906, 20756, 12338, 9418, 7802, 7831
11276, 11230, 18560, 22977, 19528, 16079, 9689, 7696, 7837
10949, 10683, 19588, 18603, 18971, 11841, 9553, 7712, 8084
14828, 10347, 19476, 25046, 18010, 11796, 9527, 7749, 7973
13149, 10333, 22072, 24715, 19279, 18845, 9333, 6710, 7893
12584, 10243, 19178, 26179, 20626, 11690, 9614, 8764, 8865
11291, 10690, 20621, 19678, 20553, 12052, 9474, 8052, 8191
11064, 11516, 21698, 22153, 19984, 11645, 9465, 7587, 7755
12104, 10912, 19446, 18887, 21651, 11275, 9157, 7806, 7869
11792, 10530, 20610, 23766, 18532, 12475, 9546, 7734, 8008
13819, 10515, 18962, 21559, 20348, 11768, 9111, 7840, 7936
14175, 13510, 20851, 22572, 19173, 11324, 10051, 7393, 7889
11088, 11430, 20143, 23175, 20350, 15070, 9436, 8231, 8047
12297, 11160, 22767, 22523, 18943, 11612, 9566, 8671, 8083
11699, 11285, 25553, 23143, 20778, 11753, 9455, 7443, 8080
11895, 10470, 22680, 24735, 19045, 11442, 9338, 7984, 7950
10895, 10677, 20214, 19639, 18962, 15267, 9618, 6741, 7886
11724, 10718, 18214, 25474, 20191, 12262, 9485, 8006, 8036
11412, 10717, 22929, 19096, 19358, 12333, 9464, 7251, 7996
14054, 10548, 20746, 19912, 20526, 11936, 9327, 7727, 8103
10906, 11116, 21134, 22950, 19028, 12528, 10008, 7936, 7912
11880, 10926, 22800, 24223, 19233, 13671, 9401, 7871, 8098
11276, 11324, 24957, 19667, 18909, 12613, 9852, 8738, 8609
11649, 10924, 20769, 18749, 19221, 14121, 9215, 7900, 7965
11609, 11213, 20066, 22654, 19524, 12295, 9351, 7860, 8061
14541, 10647, 20281, 19598, 18424, 13164, 9579, 8012, 8198
12041, 12137, 19580, 21514, 18249, 15336, 9503, 7848, 7902
11929, 10457, 22801, 19697, 19988, 11374, 9271, 7795, 7954
12022, 10701, 24274, 19159, 20466, 14333, 9145, 7697, 7947
11758, 11257, 22073, 23924, 18586, 12434, 9224, 7540, 8051
11158, 10932, 20758, 20552, 20310, 12158, 9451, 9409, 8159
11836, 11320, 26617, 23819, 20845, 12834, 9843, 7867, 7996
11920, 10741, 22590, 21559, 21489, 14475, 9298, 7880, 8221
14175, 10732, 18906, 21580, 18007, 12143, 9147, 7752, 7898
13103, 11149, 21589, 19920, 17872, 12350, 9437, 7699, 8139
11923, 10575, 22634, 19698, 19325, 11715, 14076, 7770, 7827
11580, 10229, 20591, 22850, 19372, 13087, 9629, 8057, 8066
12146, 12564, 25609, 20484, 19702, 12409, 12878, 8767, 7234
12485, 10552, 21842, 19811, 17847, 11824, 9753, 7833, 8167
10620, 11781, 24330, 19248, 19842, 12351, 9561, 8756, 9051
11784, 10890, 21749, 25906, 19304, 13469, 9452, 7723, 8060
12243, 10442, 22475, 22468, 22481, 14352, 9485, 6803, 7994
10464, 12036, 19863, 19124, 17762, 12308, 9424, 7768, 7969
13689, 10124, 21619, 23675, 18833, 15884, 9526, 7652, 7871
11244, 10570, 20785, 19670, 18885, 12103, 9288, 7771, 8021
11516, 11374, 22453, 25686, 17346, 12380, 9803, 7769, 8047
11608, 11252, 23701, 20596, 18654, 11402, 9296, 7726, 8150
11505, 11645, 19184, 18517, 20005, 11857, 9764, 9312, 8414
11806, 10816, 28695, 20235, 23791, 12843, 9552, 7517, 7976
13661, 10261, 20940, 22349, 17758, 12457, 9606, 7876, 7882
13747, 10245, 21731, 21312, 17916, 13067, 9507, 7699, 8034
11623, 10696, 22876, 18805, 17751, 12867, 9248, 7913, 7966
11836, 10914, 19936, 22881, 18834, 11574, 9403, 7768, 8128
13549, 10934, 19934, 20800, 18224, 11462, 9450, 7692, 7737
11598, 10607, 19146, 19243, 18630, 11931, 9429, 7788, 8181
11583, 10746, 19115, 21008, 19958, 15619, 9616, 7207, 8048
11792, 11078, 23836, 21982, 20216, 12151, 9626, 9516, 8362
11647, 10896, 25262, 23028, 18649, 11794, 9240, 7850, 7889
11985, 10961, 21884, 17591, 18087, 15227, 9562, 7411, 7892
12523, 10788, 26273, 24523, 17649, 12959, 9503, 8008, 8259
10777, 10797, 21186, 22252, 19294, 12584, 9465, 7762, 8267
12082, 11072, 22341, 20965, 18131, 12063, 9693, 7768, 8076
11082, 11288, 20031, 25582, 18352, 12351, 9078, 7917, 8018
11970, 10613, 20227, 25968, 18390, 11870, 9433, 7822, 8062
11803, 12263, 20183, 25354, 18266, 13995, 9696, 7723, 8215
12772, 11217, 22876, 18917, 20619, 11330, 9439, 7602, 8269
10598, 11273, 19096, 26361, 20847, 11732, 9462, 8676, 8072
11972, 11712, 22728, 18779, 19132, 11523, 9309, 8581, 7966
11606, 10628, 20125, 18961, 17897, 11849, 9441, 7871, 8007
10542, 10807, 19590, 18927, 18852, 12106, 9720, 7797, 7953
10905, 10952, 22494, 25303, 18765, 12015, 9403, 7817, 7866
11663, 10708, 19677, 21394, 18565, 12636, 9597, 7679, 7992
12126, 10647, 20660, 22936, 18613, 12131, 9103, 7173, 8027
12802, 10846, 20551, 18972, 19547, 12408, 9729, 9738, 8397
12562, 10608, 21934, 21377, 20321, 11840, 9566, 8036, 8018
11721, 10632, 21844, 23674, 18964, 12841, 9591, 8593, 8145
12325, 11435, 20855, 24570, 20533, 11794, 9371, 8081, 9027
13535, 10512, 19710, 20953, 19448, 12183, 9386, 6974, 7947
10754, 11078, 19369, 19013, 17954, 12224, 9571, 7857, 8131
11969, 11438, 21119, 20770, 18667, 12560, 9652, 7819, 8128
13199, 11311, 19162, 21187, 19063, 11804, 9413, 7714, 8060
13138, 10641, 19895, 21634, 19100, 12911, 9852, 7737, 8150
11078, 11625, 24467, 19153, 21944, 11953, 10868, 7797, 8272
11907, 12259, 23479, 21424, 20893, 12145, 9662, 7311, 8110
11802, 11785, 20514, 21086, 19442, 14260, 9392, 7913, 8025
12131, 10862, 20096, 20163, 19178, 14579, 9312, 7809, 7990
11188, 13751, 19778, 26031, 18675, 11911, 9288, 7918, 8103
11307, 11057, 19677, 18970, 18851, 12729, 9794, 7943, 7901
11029, 10876, 21628, 19214, 19541, 11497, 9408, 7081, 7882
14601, 10656, 21764, 22162, 19621, 12065, 9558, 8201, 7516
11108, 10573, 20656, 20504, 20934, 11695, 9596, 8519, 7998
11181, 10928, 24311, 19625, 22258, 12724, 10018, 7717, 7926
11769, 10799, 22358, 26337, 19481, 11518, 9285, 7772, 7914
12363, 12433, 21112, 22405, 20734, 12121, 9663, 8278, 7639
12993, 10719, 19453, 24738, 19625, 11925, 9367, 7116, 8025
11843, 11100, 20545, 26010, 18919, 11528, 9237, 7299, 7950
13359, 10476, 23105, 21114, 18721, 11754, 8604, 7708, 8200
11458, 10533, 20749, 27553, 18621, 12356, 9767, 7279, 8044
11398, 10454, 20209, 19669, 19232, 13069, 9643, 7717, 7929
11603, 11837, 23847, 21054, 21441, 12463, 10033, 8372, 7995
12381, 10302, 22729, 24640, 20331, 12423, 9578, 7844, 7997
12114, 11212, 17578, 20825, 20394, 11494, 9503, 7919, 8065
11711, 11657, 20457, 22646, 19983, 12320, 9800, 7799, 8073
11753, 13325, 21538, 20525, 19409, 12477, 9703, 7880, 8107
13858, 10525, 18723, 25307, 18719, 12285, 9836, 7897, 8058
11694, 10862, 20030, 23362, 19118, 15042, 9245, 7442, 8071
11579, 11481, 20182, 26891, 18752, 13874, 9893, 7788, 8131
12955, 11349, 21500, 23054, 19584, 12943, 10197, 9995, 8314
10862, 12375, 20826, 22614, 18606, 13621, 8930, 7878, 8110
14638, 10775, 21425, 27111, 18428, 11685, 9262, 7921, 8034
11744, 12046, 18885, 18804, 19372, 12220, 9808, 7936, 8114
13074, 11018, 21794, 23998, 18123, 13731, 9388, 7369, 7968
11418, 10424, 20202, 21244, 19553, 11488, 9587, 7922, 7922
12626, 10770, 19511, 21823, 18372, 12705, 9336, 7759, 7960
11175, 12759, 19426, 23050, 20251, 12062, 9358, 7890, 7843
14493, 11501, 22053, 26539, 19897, 15098, 8975, 8128, 8225
11295, 12475, 21546, 22690, 19453, 11668, 9937, 7832, 8065
13940, 10604, 20069, 21967, 19615, 12148, 9951, 7723, 8259
11231, 11002, 20602, 25751, 20680, 11741, 9501, 7750, 7974
12195, 11687, 19901, 24387, 18544, 12272, 9316, 7711, 8019
12308, 10858, 21596, 23858, 18635, 13419, 9450, 7808, 8019
11607, 11223, 21499, 24602, 18784, 11876, 9530, 7872, 8026
10690, 11363, 26545, 20667, 18342, 11910, 9208, 8962, 7591
11191, 10061, 19466, 19453, 18740, 11922, 9514, 7875, 8045
11044, 10945, 20036, 27237, 20619, 13465, 9919, 9145, 8687
11039, 10991, 21565, 22572, 17806, 15798, 9392, 7683, 8271
11697, 11516, 21472, 20067, 19249, 11884, 13648, 8524, 8219
11259, 11299, 24216, 19843, 18518, 12684, 9411, 7885, 7863
11608, 11402, 18986, 19981, 18557, 11508, 9099, 7690, 7917
13002, 10499, 20409, 19530, 20656, 15760, 9615, 7997, 8018
12123, 11147, 21563, 20398, 20784, 12223, 9452, 7825, 7920
12998, 11557, 19781, 25253, 19647, 12770, 9413, 7921, 8291
11622, 11435, 21991, 23867, 18142, 11455, 9447, 7673, 8157
12224, 14093, 23166, 22326, 20345, 11991, 9538, 7957, 8173
11236, 10728, 19843, 18205, 20715, 12028, 9481, 7290, 7994
11838, 10514, 18563, 19124, 18627, 12118, 8802, 7772, 8020
12415, 12019, 20236, 22745, 18130, 12234, 9436, 7984, 8155
11822, 11094, 20436, 21996, 19440, 14554, 9280, 6937, 7946
11400, 10489, 20538, 21079, 18784, 13016, 9572, 7976, 8053
12558, 10753, 19561, 24713, 18501, 12719, 9612, 7870, 7950
12327, 11266, 23268, 23360, 19542, 12184, 9568, 7864, 7964
11746, 12031, 20512, 25033, 21174, 12052, 9683, 8929, 7867
11482, 10712, 19789, 21010, 22632, 12133, 9475, 6995, 7931
11928, 10881, 19262, 20911, 18761, 13942, 9393, 7327, 8055
12136, 10811, 22538, 25620, 18981, 15638, 9853, 7701, 7985
11724, 10946, 18889, 26147, 18434, 12874, 9751, 7945, 7980
11387, 10817, 19863, 20029, 20849, 12057, 9762, 7264, 7971
14041, 10706, 18786, 19024, 19361, 16395, 9621, 7616, 8038
12398, 11170, 22688, 23709, 20809, 12193, 9375, 7759, 8009
14253, 11322, 19903, 26323, 19981, 13488, 10074, 8159, 8367
12103, 12465, 25559, 19919, 19756, 12325, 9341, 7915, 8000
12575, 11094, 21407, 20772, 19014, 11965, 9260, 7734, 8164
11166, 11115, 22308, 26865, 18996, 11933, 9282, 7942, 7978
11381, 11303, 20418, 22914, 18591, 12289, 9871, 7829, 8023
16307, 12698, 20084, 20826, 17624, 12372, 9422, 7845, 8220
12293, 12026, 21626, 25652, 18710, 12195, 9775, 7323, 7988
11591, 10640, 20848, 23591, 20083, 12588, 9621, 7821, 7997
13555, 10937, 21217, 22963, 19265, 11760, 9403, 7887, 7951
11131, 11035, 25397, 20917, 19394, 14569, 9279, 7783, 8201
11725, 10484, 19196, 22681, 18714, 12179, 9341, 7943, 8197
11887, 11412, 21591, 19680, 18597, 12600, 9677, 8187, 8018
11200, 11427, 20480, 23471, 18617, 11495, 9413, 7737, 7945
11671, 11390, 20592, 25191, 20534, 12168, 8915, 7846, 8051
11574, 10618, 22160, 24035, 19252, 13287, 9545, 7812, 7837
11959, 10946, 21029, 24106, 18602, 12233, 9320, 7753, 8003
12036, 12110, 21680, 18197, 18109, 12042, 9256, 7849, 8020
11908, 10872, 22565, 21725, 21552, 13313, 9625, 8099, 8036
11719, 11814, 23333, 19206, 23159, 12213, 9553, 7757, 8088
13259, 11830, 24166, 21956, 19507, 12395, 9473, 7706, 8132
10657, 11153, 21113, 23211, 19963, 12345, 9518, 7689, 8046
14207, 10741, 20419, 27294, 19168, 12161, 9854, 8049, 7927
11884, 11296, 22392, 22779, 18660, 12507, 9557, 7879, 8055
12509, 11286, 19628, 18247, 21287, 13522, 9294, 7970, 8094
14344, 11489, 18503, 21175, 19214, 19825, 9248, 6857, 7937
12543, 13184, 20153, 25965, 18525, 14393, 9546, 8303, 8617
12354, 12866, 24529, 19399, 17907, 18866, 9358, 6851, 7949
11778, 10799, 23589, 19515, 23628, 11826, 9350, 7612, 7970
13552, 10899, 19981, 19576, 19519, 11843, 9445, 7717, 8111
11161, 10867, 22257, 20791, 19574, 12065, 9563, 7819, 8188
11751, 11502, 20682, 22974, 18579, 12142, 9584, 7470, 8045
11112, 11097, 21042, 20169, 19062, 13065, 9720, 7809, 7918
11553, 11118, 19497, 26077, 19542, 12710, 9230, 7201, 8128
12676, 11067, 20497, 24177, 19410, 12356, 9818, 7774, 8098
11816, 11404, 22612, 23157, 22494, 11804, 11554, 8237, 8679
12281, 12282, 27993, 25369, 18392, 11808, 9032, 7877, 7973
13975, 10774, 22021, 20717, 27142, 12469, 10278, 8390, 8094
12355, 12985, 21272, 19605, 18748, 11718, 9305, 7875, 7974
11707, 10768, 19207, 18975, 17236, 11489, 9515, 7766, 7962
11680, 10493, 21389, 19420, 21043, 11867, 9527, 7646, 7828
11547, 10518, 20928, 21530, 19774, 11273, 9555, 7904, 7933
14475, 10434, 20347, 22331, 18293, 12316, 9472, 7898, 7844
11509, 10212, 25117, 20072, 18725, 12194, 10485, 8113, 8463
11283, 12184, 27562, 21762, 22218, 12464, 9455, 7763, 8184
11709, 11386, 25545, 24488, 19109, 13930, 9307, 7996, 7929
12636, 10714, 22782, 20446, 18808, 14744, 9813, 7677, 8076
11312, 11066, 20023, 23028, 19132, 13844, 9242, 7699, 7975
11483, 10467, 24654, 24832, 18123, 11679, 10937, 8030, 7977
11935, 10559, 20861, 23431, 18108, 11583, 9509, 7749, 8118
14433, 10701, 21438, 22936, 20051, 13142, 9105, 8605, 7550
14546, 10194, 24155, 24707, 18478, 11996, 9484, 8063, 8121
12016, 11240, 24208, 20110, 20543, 12751, 9665, 7911, 8223
11184, 10336, 21991, 21729, 19457, 11446, 9502, 7261, 7896
11909, 10393, 23366, 21921, 17611, 12168, 9371, 7836, 7919
13961, 10998, 20290, 21789, 20383, 12398, 9544, 6915, 8031
12365, 10643, 19544, 20615, 19224, 12222, 9480, 7716, 7942
11319, 11665, 22709, 18377, 19550, 12762, 11853, 7754, 8084
12795, 10828, 20899, 21575, 19650, 13287, 9753, 7857, 8119
13211, 10413, 21505, 19593, 19835, 11595, 9362, 7916, 8008
11940, 10893, 21566, 21105, 21123, 12285, 9396, 8488, 8363
12396, 10713, 22718, 18286, 18424, 12717, 9441, 7839, 7949
11644, 10680, 21297, 18267, 18781, 14265, 9448, 7840, 8027
12239, 11261, 19152, 19734, 17916, 14762, 9436, 7414, 7997
10930, 11122, 18606, 21031, 19183, 11800, 9590, 7967, 7973
11259, 11899, 20754, 25679, 19505, 11931, 9314, 8009, 7847
11338, 10748, 22568, 21539, 18680, 11735, 9564, 7633, 8125
14428, 9903, 20738, 19213, 19616, 12034, 8864, 7768, 8095
11680, 11277, 20405, 18594, 20528, 14190, 9549, 8101, 8134
11117, 11132, 22032, 21553, 20471, 12144, 9939, 8126, 8003
10880, 11821, 21515, 22609, 18839, 15281, 9444, 7145, 7978
11381, 12647, 20910, 22339, 18444, 14341, 9521, 7980, 8055
11514, 11402, 20733, 20983, 20610, 11326, 9504, 7828, 8140
14361, 10964, 20642, 21241, 21984, 11489, 9356, 7803, 7998
12909, 10351, 21215, 25746, 18067, 11722, 8751, 7697, 8036
12053, 10516, 20467, 19473, 18239, 13361, 9532, 7668, 8179
11659, 11891, 18704, 20100, 18090, 13357, 9808, 7826, 7854
11094, 11208, 22098, 23496, 19672, 12912, 9606, 7757, 8342
12028, 10033, 23729, 21540, 23806, 13632, 9520, 6978, 8129
10494, 10572, 18027, 25358, 18169, 11522, 9476, 7712, 7886
11335, 10662, 19878, 19254, 18202, 12042, 9391, 7669, 7843
11296, 10666, 23247, 20275, 20919, 12125, 9531, 7691, 7964
11553, 10990, 22424, 21561, 19163, 11981, 9808, 7817, 8073
12602, 10781, 19206, 21037, 18675, 11642, 9558, 7808, 7932
11363, 10801, 24425, 26392, 18540, 12415, 9712, 7918, 8159
11344, 11312, 20487, 21171, 19788, 11692, 9694, 8298, 8269
11948, 10797, 22304, 21076, 20707, 14608, 9710, 8710, 8072
11985, 11368, 24465, 20058, 20690, 11700, 9379, 7838, 8120
13255, 10319, 19693, 21118, 18261, 12142, 10085, 7173, 8162
11661, 10759, 21771, 23681, 17868, 13089, 9792, 7935, 8031
12004, 11220, 22003, 23033, 20995, 12851, 9512, 7785, 7926
11068, 10511, 20643, 23540, 20235, 13084, 9242, 7860, 8181
11120, 11063, 21805, 20623, 19765, 11873, 9626, 7568, 8102
14014, 13457, 20657, 22987, 18863, 14320, 9457, 7807, 7892
11587, 11846, 21018, 23476, 19547, 11413, 9007, 7789, 7991
14089, 10651, 24060, 20767, 20408, 11415, 8925, 7836, 7959
11680, 10153, 18242, 21225, 18019, 12072, 9645, 7776, 8002
11304, 11719, 19660, 18540, 18816, 11801, 9409, 7728, 7908
12192, 11767, 19780, 22474, 20192, 11872, 9876, 7733, 8106
11948, 10657, 21986, 19260, 19058, 14076, 9324, 7848, 8095
11163, 11300, 19781, 26561, 19822, 11761, 9240, 7615, 7973
11950, 10524, 19644, 22000, 21412, 12552, 9185, 7808, 7912
13587, 10399, 20649, 24185, 18932, 12090, 9222, 9005, 7917
11690, 10501, 23516, 20282, 19623, 12398, 9745, 9304, 7987
11384, 11635, 26363, 25721, 17920, 11907, 9574, 7623, 7995
12656, 9988, 21373, 22673, 18489, 11841, 9475, 7915, 7991
11386, 12038, 20514, 25962, 18018, 14282, 9893, 7877, 8982
11525, 10521, 21959, 19870, 17695, 11787, 9470, 7828, 7832
12462, 10667, 22452, 26389, 18018, 12170, 9517, 7685, 8001
11235, 10547, 22343, 24064, 20367, 14613, 9409, 7756, 8073
11439, 11211, 19137, 24860, 18925, 14022, 9878, 8022, 8051
11179, 11826, 21712, 22037, 20670, 15751, 9315, 7550, 8065
11676, 11367, 22930, 24582, 19961, 11549, 9281, 7989, 8172
10763, 11429, 25299, 20281, 18684, 12411, 10505, 8200, 7996
12749, 12042, 26171, 21345, 18247, 12273, 9477, 8151, 8301
11973, 12180, 21865, 20954, 19315, 12467, 9679, 8088, 8066
11436, 10682, 22753, 22914, 19113, 11847, 9326, 7831, 8018
11695, 10860, 21031, 19988, 18790, 12260, 9445, 7868, 8141
11149, 10630, 20876, 19134, 19240, 12772, 9169, 7882, 8019
12894, 10842, 21513, 19043, 20308, 11615, 9244, 8384, 8235
11534, 11041, 21131, 19955, 18624, 12154, 9566, 8581, 8156
11869, 12052, 24302, 24463, 19280, 12120, 9138, 7731, 7981
11716, 11421, 19182, 18131, 19757, 11988, 9334, 7082, 8068
14142, 10002, 20300, 19670, 18664, 12357, 9436, 7710, 8044
13952, 10229, 23255, 21549, 19199, 15416, 9642, 7589, 7905
10695, 10799, 19355, 22231, 19790, 12008, 9353, 7851, 8048
